"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";69;"";;;
2;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
3;"R2,R1,R5";"0603R";3;"1k";;;
4;"R3,R4,R12,R6";"0402R";4;"2k2";;;
5;"R9,R10,R17,R18,R19,R20,R21,R16";"0603R";8;"10k";;;
6;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
7;"C1,C2";"0603C";2;"0.1uF";;;
8;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
9;"C5,C3,C7,C8";"0603C";4;"2.2uF";;;
10;"D2";"0402LED";1;"blue";;;
11;"R15";"0603R";1;"2k49";;;
12;"R7,R8";"0603R";2;"5.1k";;;
13;"U2";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
14;"D4";"WS2812B-2020";1;"WS2812B-2020";;;
15;"Q2,Q3";"SOT-23-3";2;"NPN-SOT-23-3";;;
16;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
17;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
18;"D3";"0402LED";1;"purple";;;
19;"U1";"SOP-16";1;"CH340C";;;
20;"K1";"easyC-connector";1;"easyC-SMD";;;
21;"D1";"0402LED";1;"white";;;
22;"Q1";"SOT-23-3";1;"PMOS-SOT-23-3";;;
23;"R14";"0603R";1;"100k";;;
24;"D5";"0402LED";1;"red";;;
25;"SW1,SW2";"YTSA007A0151803B";2;"YTSA007A0151803B";;;
26;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
27;"C6";"0603C";1;"270pF";;;
28;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
29;"U3";"TP4056M-MSOP8";1;"TP4056M";;;
30;"R11";"0603R";1;"3k";;;
31;"C4,C9";"0603C";2;"100nF";;;
32;"D7";"SOD-323";1;"BAT20J";;;
33;"U4";"ESP 8266(ESP12-F)";1;"ESP8266(ESP12-F)";;;
34;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
35;"K5,K4";"HEADER_MALE_15X1";2;"HEADER_MALE_15X1";;;
36;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
